Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Cropland,,Forest: Western Larch Group,,,Ag Contraction: Western Larch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western Oak Group,,,Ag Contraction: Western Oak Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Western Oak Group,,,Ag Contraction: Western Oak Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western White Pine Group,,,Ag Contraction: Western White Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Western White Pine Group,,,Ag Contraction: Western White Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: White/Red/Jack Pine Group,,,Ag Contraction: White/Red/Jack Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: White/Red/Jack Pine Group,,,Ag Contraction: White/Red/Jack Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Grassland: All,,,Ag Contraction: Grassland,1,,,,,,,,
,,,Agriculture: Cropland,,Grassland: All,,,Ag Contraction: Grassland,1,,,,,,,,
,,,Agriculture: Pasture,,Shrubland: All,,,Ag Contraction: Shrubland,1,,,,,,,,
,,,Agriculture: Cropland,,Shrubland: All,,,Ag Contraction: Shrubland,1,,,,,,,,
,,,Agriculture: Pasture,,Wetland: Herbaceous,,,Ag Contraction: Wetland Herbaceous,1,,,,,,,,
,,,Agriculture: Cropland,,Wetland: Herbaceous,,,Ag Contraction: Wetland Herbaceous,1,,,,,,,,
,,,Agriculture: Pasture,,Wetland: Woody,,,Ag Contraction: Wetland Woody,1,,,,,,,,
,,,Agriculture: Cropland,,Wetland: Woody,,,Ag Contraction: Wetland Woody,1,,,,,,,,
