EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Jack pine,Blue Ridge,Pennsylvania,Forest: White/Red/Jack Pine Group,10.6490947
Mixedwood Plains,Ontario,Jack pine,Ridge and Valley,Pennsylvania,Forest: White/Red/Jack Pine Group,9.398316447
Mixedwood Plains,Ontario,Jack pine,Central Appalachians,Pennsylvania,Forest: White/Red/Jack Pine Group,8.594115983
Mixedwood Plains,Ontario,Jack pine,Western Allegheny Plateau,Pennsylvania,Forest: White/Red/Jack Pine Group,8.968411643
Mixedwood Plains,Ontario,Jack pine,Eastern Great Lakes Lowlands,Pennsylvania,Forest: White/Red/Jack Pine Group,9.848380981
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,Rhode Island,Forest: White/Red/Jack Pine Group,9.971857484
Mixedwood Plains,Ontario,Jack pine,Piedmont,South Carolina,Forest: White/Red/Jack Pine Group,15.34454947
Mixedwood Plains,Ontario,Jack pine,Blue Ridge,South Carolina,Forest: White/Red/Jack Pine Group,14.20777675
Mixedwood Plains,Ontario,Jack pine,Blue Ridge,Tennessee,Forest: White/Red/Jack Pine Group,10.14806538
Mixedwood Plains,Ontario,Jack pine,Ridge and Valley,Tennessee,Forest: White/Red/Jack Pine Group,13.59805709
Mixedwood Plains,Ontario,Jack pine,Southwestern Appalachians,Tennessee,Forest: White/Red/Jack Pine Group,13.50433989
Mixedwood Plains,Ontario,Jack pine,Central Appalachians,Tennessee,Forest: White/Red/Jack Pine Group,12.83961648
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,Vermont,Forest: White/Red/Jack Pine Group,6.751835962
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,Vermont,Forest: White/Red/Jack Pine Group,7.999649022
Mixedwood Plains,Quebec,Jack pine,Eastern Great Lakes Lowlands,Vermont,Forest: White/Red/Jack Pine Group,7.665315877
