StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Northern Basin and Range,Intensification: Open to Low,Intensification,2001,2006,0
Sonoran Basin and Range,Intensification: Open to Low,Intensification,2001,2006,120
Acadian Plains and Hills,Intensification: Open to Low,Intensification,2001,2006,20
Eastern Great Lakes Lowlands,Intensification: Open to Low,Intensification,2001,2006,40
Atlantic Coastal Pine Barrens,Intensification: Open to Low,Intensification,2001,2006,140
Southern California/Northern Baja Coast,Intensification: Open to Low,Intensification,2001,2006,140
Coast Range,Intensification: Open to Low,Intensification,2007,2011,20
Puget Lowland,Intensification: Open to Low,Intensification,2007,2011,120
Willamette Valley,Intensification: Open to Low,Intensification,2007,2011,0
Cascades,Intensification: Open to Low,Intensification,2007,2011,0
Sierra Nevada,Intensification: Open to Low,Intensification,2007,2011,0
Central California Foothills and Coastal Mountains,Intensification: Open to Low,Intensification,2007,2011,20
Central California Valley,Intensification: Open to Low,Intensification,2007,2011,100
Southern California Mountains,Intensification: Open to Low,Intensification,2007,2011,0
Eastern Cascades Slopes and Foothills,Intensification: Open to Low,Intensification,2007,2011,0
Columbia Plateau,Intensification: Open to Low,Intensification,2007,2011,60
Blue Mountains,Intensification: Open to Low,Intensification,2007,2011,0
Snake River Plain,Intensification: Open to Low,Intensification,2007,2011,20
Central Basin and Range,Intensification: Open to Low,Intensification,2007,2011,20
Mojave Basin and Range,Intensification: Open to Low,Intensification,2007,2011,40
Northern Rockies,Intensification: Open to Low,Intensification,2007,2011,0
Idaho Batholith,Intensification: Open to Low,Intensification,2007,2011,0
Middle Rockies,Intensification: Open to Low,Intensification,2007,2011,0
Wyoming Basin,Intensification: Open to Low,Intensification,2007,2011,20
Wasatch and Uinta Mountains,Intensification: Open to Low,Intensification,2007,2011,20
Colorado Plateaus,Intensification: Open to Low,Intensification,2007,2011,0
Southern Rockies,Intensification: Open to Low,Intensification,2007,2011,0
Arizona/New Mexico Plateau,Intensification: Open to Low,Intensification,2007,2011,0
Arizona/New Mexico Mountains,Intensification: Open to Low,Intensification,2007,2011,0
Chihuahuan Deserts,Intensification: Open to Low,Intensification,2007,2011,20
High Plains,Intensification: Open to Low,Intensification,2007,2011,100
Southwestern Tablelands,Intensification: Open to Low,Intensification,2007,2011,20
Central Great Plains,Intensification: Open to Low,Intensification,2007,2011,80
Flint Hills,Intensification: Open to Low,Intensification,2007,2011,20
Cross Timbers,Intensification: Open to Low,Intensification,2007,2011,60
Edwards Plateau,Intensification: Open to Low,Intensification,2007,2011,80
Southern Texas Plains,Intensification: Open to Low,Intensification,2007,2011,0
Texas Blackland Prairies,Intensification: Open to Low,Intensification,2007,2011,160
East Central Texas Plains,Intensification: Open to Low,Intensification,2007,2011,20
Western Gulf Coastal Plain,Intensification: Open to Low,Intensification,2007,2011,280
South Central Plains,Intensification: Open to Low,Intensification,2007,2011,40
Ouachita Mountains,Intensification: Open to Low,Intensification,2007,2011,0
Arkansas Valley,Intensification: Open to Low,Intensification,2007,2011,0
Boston Mountains,Intensification: Open to Low,Intensification,2007,2011,0
Ozark Highlands,Intensification: Open to Low,Intensification,2007,2011,0
Central Irregular Plains,Intensification: Open to Low,Intensification,2007,2011,20
Canadian Rockies,Intensification: Open to Low,Intensification,2007,2011,0
Northwestern Glaciated Plains,Intensification: Open to Low,Intensification,2007,2011,40
Northwestern Great Plains,Intensification: Open to Low,Intensification,2007,2011,0
