StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Western Gulf Coastal Plain,Ag Contraction,Ag Change,2001,2006,9540
Willamette Valley,Ag Contraction,Ag Change,2001,2006,1160
Wyoming Basin,Ag Contraction,Ag Change,2001,2006,420
Acadian Plains and Hills,Ag Contraction,Ag Change,2007,2011,500
Arizona/New Mexico Mountains,Ag Contraction,Ag Change,2007,2011,0
Arizona/New Mexico Plateau,Ag Contraction,Ag Change,2007,2011,280
Arkansas Valley,Ag Contraction,Ag Change,2007,2011,1840
Atlantic Coastal Pine Barrens,Ag Contraction,Ag Change,2007,2011,20
Blue Mountains,Ag Contraction,Ag Change,2007,2011,180
Blue Ridge,Ag Contraction,Ag Change,2007,2011,1700
Boston Mountains,Ag Contraction,Ag Change,2007,2011,620
Canadian Rockies,Ag Contraction,Ag Change,2007,2011,0
Cascades,Ag Contraction,Ag Change,2007,2011,140
Central Appalachians,Ag Contraction,Ag Change,2007,2011,1340
Central Basin and Range,Ag Contraction,Ag Change,2007,2011,800
Central California Foothills and Coastal Mountains,Ag Contraction,Ag Change,2007,2011,140
Central California Valley,Ag Contraction,Ag Change,2007,2011,580
Central Corn Belt Plains,Ag Contraction,Ag Change,2007,2011,580
Central Great Plains,Ag Contraction,Ag Change,2007,2011,9000
Central Irregular Plains,Ag Contraction,Ag Change,2007,2011,7200
Chihuahuan Deserts,Ag Contraction,Ag Change,2007,2011,120
Coast Range,Ag Contraction,Ag Change,2007,2011,140
Colorado Plateaus,Ag Contraction,Ag Change,2007,2011,480
Columbia Plateau,Ag Contraction,Ag Change,2007,2011,9920
Cross Timbers,Ag Contraction,Ag Change,2007,2011,780
Driftless Area,Ag Contraction,Ag Change,2007,2011,760
East Central Texas Plains,Ag Contraction,Ag Change,2007,2011,4980
Eastern Cascades Slopes and Foothills,Ag Contraction,Ag Change,2007,2011,900
Eastern Corn Belt Plains,Ag Contraction,Ag Change,2007,2011,1280
Eastern Great Lakes Lowlands,Ag Contraction,Ag Change,2007,2011,2320
Edwards Plateau,Ag Contraction,Ag Change,2007,2011,80
Erie Drift Plain,Ag Contraction,Ag Change,2007,2011,680
Flint Hills,Ag Contraction,Ag Change,2007,2011,1000
High Plains,Ag Contraction,Ag Change,2007,2011,7260
Huron/Erie Lake Plains,Ag Contraction,Ag Change,2007,2011,560
Idaho Batholith,Ag Contraction,Ag Change,2007,2011,0
Interior Plateau,Ag Contraction,Ag Change,2007,2011,9960
Interior River Valleys and Hills,Ag Contraction,Ag Change,2007,2011,5480
Klamath Mountains/California High North Coast Range,Ag Contraction,Ag Change,2007,2011,60
Lake Agassiz Plain,Ag Contraction,Ag Change,2007,2011,3500
Madrean Archipelago,Ag Contraction,Ag Change,2007,2011,20
Middle Atlantic Coastal Plain,Ag Contraction,Ag Change,2007,2011,2580
Middle Rockies,Ag Contraction,Ag Change,2007,2011,260
Mississippi Alluvial Plain,Ag Contraction,Ag Change,2007,2011,3960
Mississippi Valley Loess Plains,Ag Contraction,Ag Change,2007,2011,8420
Mojave Basin and Range,Ag Contraction,Ag Change,2007,2011,40
Nebraska Sand Hills,Ag Contraction,Ag Change,2007,2011,480
North Cascades,Ag Contraction,Ag Change,2007,2011,20
North Central Appalachians,Ag Contraction,Ag Change,2007,2011,780
North Central Hardwood Forests,Ag Contraction,Ag Change,2007,2011,1880
Northeastern Coastal Zone,Ag Contraction,Ag Change,2007,2011,700
Northeastern Highlands,Ag Contraction,Ag Change,2007,2011,1760
Northern Allegheny Plateau,Ag Contraction,Ag Change,2007,2011,3060
Northern Basin and Range,Ag Contraction,Ag Change,2007,2011,560
Northern Glaciated Plains,Ag Contraction,Ag Change,2007,2011,9180
Northern Lakes and Forests,Ag Contraction,Ag Change,2007,2011,2000
Northern Minnesota Wetlands,Ag Contraction,Ag Change,2007,2011,880
Northern Piedmont,Ag Contraction,Ag Change,2007,2011,800
Northern Rockies,Ag Contraction,Ag Change,2007,2011,400
Northwestern Glaciated Plains,Ag Contraction,Ag Change,2007,2011,7840
Northwestern Great Plains,Ag Contraction,Ag Change,2007,2011,4580
Ouachita Mountains,Ag Contraction,Ag Change,2007,2011,860
Ozark Highlands,Ag Contraction,Ag Change,2007,2011,6400
Piedmont,Ag Contraction,Ag Change,2007,2011,12200
Puget Lowland,Ag Contraction,Ag Change,2007,2011,340
Ridge and Valley,Ag Contraction,Ag Change,2007,2011,5940
Sierra Nevada,Ag Contraction,Ag Change,2007,2011,0
Snake River Plain,Ag Contraction,Ag Change,2007,2011,960
Sonoran Basin and Range,Ag Contraction,Ag Change,2007,2011,340
South Central Plains,Ag Contraction,Ag Change,2007,2011,13240
Southeastern Plains,Ag Contraction,Ag Change,2007,2011,31280
Southeastern Wisconsin Till Plains,Ag Contraction,Ag Change,2007,2011,460
Southern California Mountains,Ag Contraction,Ag Change,2007,2011,0
Southern California/Northern Baja Coast,Ag Contraction,Ag Change,2007,2011,120
Southern Coastal Plain,Ag Contraction,Ag Change,2007,2011,7000
Southern Florida Coastal Plain,Ag Contraction,Ag Change,2007,2011,760
Southern Michigan/Northern Indiana Drift Plains,Ag Contraction,Ag Change,2007,2011,1540
Southern Rockies,Ag Contraction,Ag Change,2007,2011,200
Southern Texas Plains,Ag Contraction,Ag Change,2007,2011,500
Southwestern Appalachians,Ag Contraction,Ag Change,2007,2011,3020
Southwestern Tablelands,Ag Contraction,Ag Change,2007,2011,1140
Texas Blackland Prairies,Ag Contraction,Ag Change,2007,2011,2080
Wasatch and Uinta Mountains,Ag Contraction,Ag Change,2007,2011,100
Western Allegheny Plateau,Ag Contraction,Ag Change,2007,2011,3820
Western Corn Belt Plains,Ag Contraction,Ag Change,2007,2011,2800
Western Gulf Coastal Plain,Ag Contraction,Ag Change,2007,2011,6520
Willamette Valley,Ag Contraction,Ag Change,2007,2011,820
Wyoming Basin,Ag Contraction,Ag Change,2007,2011,600
Acadian Plains and Hills,Ag Contraction,Ag Change,2012,2016,160
Arizona/New Mexico Mountains,Ag Contraction,Ag Change,2012,2016,0
Arizona/New Mexico Plateau,Ag Contraction,Ag Change,2012,2016,60
Arkansas Valley,Ag Contraction,Ag Change,2012,2016,460
Atlantic Coastal Pine Barrens,Ag Contraction,Ag Change,2012,2016,60
Blue Mountains,Ag Contraction,Ag Change,2012,2016,80
Blue Ridge,Ag Contraction,Ag Change,2012,2016,620
Boston Mountains,Ag Contraction,Ag Change,2012,2016,340
Canadian Rockies,Ag Contraction,Ag Change,2012,2016,0
Cascades,Ag Contraction,Ag Change,2012,2016,140
Central Appalachians,Ag Contraction,Ag Change,2012,2016,760
Central Basin and Range,Ag Contraction,Ag Change,2012,2016,360
Central California Foothills and Coastal Mountains,Ag Contraction,Ag Change,2012,2016,60
Central California Valley,Ag Contraction,Ag Change,2012,2016,460
Central Corn Belt Plains,Ag Contraction,Ag Change,2012,2016,380
Central Great Plains,Ag Contraction,Ag Change,2012,2016,2320
Central Irregular Plains,Ag Contraction,Ag Change,2012,2016,2980
Chihuahuan Deserts,Ag Contraction,Ag Change,2012,2016,80
Coast Range,Ag Contraction,Ag Change,2012,2016,160
Colorado Plateaus,Ag Contraction,Ag Change,2012,2016,180
Columbia Plateau,Ag Contraction,Ag Change,2012,2016,1520
Cross Timbers,Ag Contraction,Ag Change,2012,2016,180
Driftless Area,Ag Contraction,Ag Change,2012,2016,260
East Central Texas Plains,Ag Contraction,Ag Change,2012,2016,2820
Eastern Cascades Slopes and Foothills,Ag Contraction,Ag Change,2012,2016,420
Eastern Corn Belt Plains,Ag Contraction,Ag Change,2012,2016,280
Eastern Great Lakes Lowlands,Ag Contraction,Ag Change,2012,2016,1180
Edwards Plateau,Ag Contraction,Ag Change,2012,2016,20
Erie Drift Plain,Ag Contraction,Ag Change,2012,2016,200
Flint Hills,Ag Contraction,Ag Change,2012,2016,240
High Plains,Ag Contraction,Ag Change,2012,2016,3120
Huron/Erie Lake Plains,Ag Contraction,Ag Change,2012,2016,380
Idaho Batholith,Ag Contraction,Ag Change,2012,2016,0
Interior Plateau,Ag Contraction,Ag Change,2012,2016,3700
Interior River Valleys and Hills,Ag Contraction,Ag Change,2012,2016,1880
Klamath Mountains/California High North Coast Range,Ag Contraction,Ag Change,2012,2016,0
Lake Agassiz Plain,Ag Contraction,Ag Change,2012,2016,3600
Madrean Archipelago,Ag Contraction,Ag Change,2012,2016,0
Middle Atlantic Coastal Plain,Ag Contraction,Ag Change,2012,2016,720
Middle Rockies,Ag Contraction,Ag Change,2012,2016,60
Mississippi Alluvial Plain,Ag Contraction,Ag Change,2012,2016,2040
Mississippi Valley Loess Plains,Ag Contraction,Ag Change,2012,2016,1800
Mojave Basin and Range,Ag Contraction,Ag Change,2012,2016,0
Nebraska Sand Hills,Ag Contraction,Ag Change,2012,2016,200
North Cascades,Ag Contraction,Ag Change,2012,2016,40
North Central Appalachians,Ag Contraction,Ag Change,2012,2016,120
North Central Hardwood Forests,Ag Contraction,Ag Change,2012,2016,2820
Northeastern Coastal Zone,Ag Contraction,Ag Change,2012,2016,420
Northeastern Highlands,Ag Contraction,Ag Change,2012,2016,860
Northern Allegheny Plateau,Ag Contraction,Ag Change,2012,2016,860
Northern Basin and Range,Ag Contraction,Ag Change,2012,2016,120
Northern Glaciated Plains,Ag Contraction,Ag Change,2012,2016,4920
Northern Lakes and Forests,Ag Contraction,Ag Change,2012,2016,1720
Northern Minnesota Wetlands,Ag Contraction,Ag Change,2012,2016,940
Northern Piedmont,Ag Contraction,Ag Change,2012,2016,460
Northern Rockies,Ag Contraction,Ag Change,2012,2016,100
Northwestern Glaciated Plains,Ag Contraction,Ag Change,2012,2016,2260
Northwestern Great Plains,Ag Contraction,Ag Change,2012,2016,1420
Ouachita Mountains,Ag Contraction,Ag Change,2012,2016,700
Ozark Highlands,Ag Contraction,Ag Change,2012,2016,2360
Piedmont,Ag Contraction,Ag Change,2012,2016,4880
Puget Lowland,Ag Contraction,Ag Change,2012,2016,100
Ridge and Valley,Ag Contraction,Ag Change,2012,2016,2860
Sierra Nevada,Ag Contraction,Ag Change,2012,2016,0
Snake River Plain,Ag Contraction,Ag Change,2012,2016,280
Sonoran Basin and Range,Ag Contraction,Ag Change,2012,2016,220
South Central Plains,Ag Contraction,Ag Change,2012,2016,6100
Southeastern Plains,Ag Contraction,Ag Change,2012,2016,10540
Southeastern Wisconsin Till Plains,Ag Contraction,Ag Change,2012,2016,1000
Southern California Mountains,Ag Contraction,Ag Change,2012,2016,0
Southern California/Northern Baja Coast,Ag Contraction,Ag Change,2012,2016,20
Southern Coastal Plain,Ag Contraction,Ag Change,2012,2016,3480
Southern Florida Coastal Plain,Ag Contraction,Ag Change,2012,2016,560
Southern Michigan/Northern Indiana Drift Plains,Ag Contraction,Ag Change,2012,2016,1360
Southern Rockies,Ag Contraction,Ag Change,2012,2016,80
Southern Texas Plains,Ag Contraction,Ag Change,2012,2016,140
Southwestern Appalachians,Ag Contraction,Ag Change,2012,2016,1440
Southwestern Tablelands,Ag Contraction,Ag Change,2012,2016,400
Texas Blackland Prairies,Ag Contraction,Ag Change,2012,2016,820
Wasatch and Uinta Mountains,Ag Contraction,Ag Change,2012,2016,40
Western Allegheny Plateau,Ag Contraction,Ag Change,2012,2016,1880
Western Corn Belt Plains,Ag Contraction,Ag Change,2012,2016,4460
Western Gulf Coastal Plain,Ag Contraction,Ag Change,2012,2016,3620
Willamette Valley,Ag Contraction,Ag Change,2012,2016,400
Wyoming Basin,Ag Contraction,Ag Change,2012,2016,400
