StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Middle Atlantic Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,34700
Northern Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,1300
Southeastern Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,230200
Blue Ridge,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,4400
Ridge and Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,18300
Southwestern Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,21400
Central Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,7600
Western Allegheny Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,4300
Interior Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,9100
Interior River Valleys and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,2100
Mississippi Alluvial Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,4900
Mississippi Valley Loess Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,24400
Southern Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,76800
Southern Florida Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,400
North Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,6200
Klamath Mountains/California High North Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,23400
Madrean Archipelago,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,500
Northern Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,2600
Sonoran Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,0
Acadian Plains and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,12200
Eastern Great Lakes Lowlands,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,500
Atlantic Coastal Pine Barrens,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,1700
Southern California/Northern Baja Coast,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,100
Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,52900
Puget Lowland,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,7500
Willamette Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,6300
Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,38500
Sierra Nevada,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,25900
Central California Foothills and Coastal Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,900
Central California Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Southern California Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1000
Eastern Cascades Slopes and Foothills,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,19700
Columbia Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,400
Blue Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,13100
Snake River Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,800
Central Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,2700
Mojave Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Northern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,39100
Idaho Batholith,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,7400
Middle Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,17400
Wyoming Basin,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,3500
Wasatch and Uinta Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,2800
Colorado Plateaus,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,12500
Southern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,7800
Arizona/New Mexico Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,400
Arizona/New Mexico Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,6300
Chihuahuan Deserts,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
High Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Southwestern Tablelands,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Central Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Flint Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Cross Timbers,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,300
Edwards Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1100
Southern Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Texas Blackland Prairies,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,100
East Central Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,3000
Western Gulf Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,6300
South Central Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,192600
Ouachita Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,22800
Arkansas Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,4000
Boston Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,3100
Ozark Highlands,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,15100
Central Irregular Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,100
Canadian Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,2300
Northwestern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,200
Northwestern Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,6700
Nebraska Sand Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,107200
Northern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Western Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,200
Lake Agassiz Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,0
Northern Minnesota Wetlands,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,3800
Northern Lakes and Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,41200
North Central Hardwood Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,5300
Driftless Area,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,500
Southeastern Wisconsin Till Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,100
Central Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,300
Eastern Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,500
Southern Michigan/Northern Indiana Drift Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1100
Huron/Erie Lake Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,300
Northeastern Highlands,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,18700
Northeastern Coastal Zone,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,2100
Northern Allegheny Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,900
Erie Drift Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,700
North Central Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,7000
Middle Atlantic Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,55700
Northern Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1700
Southeastern Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,250500
Blue Ridge,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,5300
Ridge and Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,12600
Southwestern Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,19900
Central Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,9700
Western Allegheny Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,4700
Interior Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,11300
Interior River Valleys and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1200
Mississippi Alluvial Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,5000
Mississippi Valley Loess Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,19000
Southern Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,74500
Southern Florida Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,300
North Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,5700
Klamath Mountains/California High North Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,16200
Madrean Archipelago,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,100
Northern Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,2300
Sonoran Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,200
Acadian Plains and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,8600
Eastern Great Lakes Lowlands,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,900
Atlantic Coastal Pine Barrens,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,1700
Southern California/Northern Baja Coast,Forest Harvest: Forest Clearcut,Forest Harvest,2003,2003,500
Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,58200
Puget Lowland,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,6500
Willamette Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5100
Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,36900
Sierra Nevada,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,23500
