StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Middle Rockies,Fire,Fire,2003,2003,26000
Wyoming Basin,Fire,Fire,2003,2003,9000
Wasatch and Uinta Mountains,Fire,Fire,2003,2003,46300
Colorado Plateaus,Fire,Fire,2003,2003,65000
Southern Rockies,Fire,Fire,2003,2003,185900
Arizona/New Mexico Plateau,Fire,Fire,2003,2003,6200
Arizona/New Mexico Mountains,Fire,Fire,2003,2003,224900
Chihuahuan Deserts,Fire,Fire,2003,2003,0
High Plains,Fire,Fire,2003,2003,300
Southwestern Tablelands,Fire,Fire,2003,2003,1400
Central Great Plains,Fire,Fire,2003,2003,0
Flint Hills,Fire,Fire,2003,2003,0
Cross Timbers,Fire,Fire,2003,2003,0
Edwards Plateau,Fire,Fire,2003,2003,0
Southern Texas Plains,Fire,Fire,2003,2003,0
Texas Blackland Prairies,Fire,Fire,2003,2003,0
East Central Texas Plains,Fire,Fire,2003,2003,0
Western Gulf Coastal Plain,Fire,Fire,2003,2003,0
South Central Plains,Fire,Fire,2003,2003,0
Ouachita Mountains,Fire,Fire,2003,2003,0
Arkansas Valley,Fire,Fire,2003,2003,0
Boston Mountains,Fire,Fire,2003,2003,0
Ozark Highlands,Fire,Fire,2003,2003,600
Central Irregular Plains,Fire,Fire,2003,2003,0
Canadian Rockies,Fire,Fire,2003,2003,2500
Northwestern Glaciated Plains,Fire,Fire,2003,2003,0
Northwestern Great Plains,Fire,Fire,2003,2003,34700
Nebraska Sand Hills,Fire,Fire,2003,2003,0
Piedmont,Fire,Fire,2003,2003,0
Northern Glaciated Plains,Fire,Fire,2003,2003,0
Western Corn Belt Plains,Fire,Fire,2003,2003,0
Lake Agassiz Plain,Fire,Fire,2003,2003,0
Northern Minnesota Wetlands,Fire,Fire,2003,2003,0
Northern Lakes and Forests,Fire,Fire,2003,2003,1200
North Central Hardwood Forests,Fire,Fire,2003,2003,0
Driftless Area,Fire,Fire,2003,2003,0
Southeastern Wisconsin Till Plains,Fire,Fire,2003,2003,0
Central Corn Belt Plains,Fire,Fire,2003,2003,0
Eastern Corn Belt Plains,Fire,Fire,2003,2003,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2003,2003,0
Huron/Erie Lake Plains,Fire,Fire,2003,2003,0
Northeastern Highlands,Fire,Fire,2003,2003,0
Northeastern Coastal Zone,Fire,Fire,2003,2003,0
Northern Allegheny Plateau,Fire,Fire,2003,2003,0
Erie Drift Plain,Fire,Fire,2003,2003,0
North Central Appalachians,Fire,Fire,2003,2003,0
Middle Atlantic Coastal Plain,Fire,Fire,2003,2003,0
Northern Piedmont,Fire,Fire,2003,2003,0
Southeastern Plains,Fire,Fire,2003,2003,0
Blue Ridge,Fire,Fire,2003,2003,2100
Ridge and Valley,Fire,Fire,2003,2003,0
Southwestern Appalachians,Fire,Fire,2003,2003,0
Central Appalachians,Fire,Fire,2003,2003,0
Western Allegheny Plateau,Fire,Fire,2003,2003,0
Interior Plateau,Fire,Fire,2003,2003,0
Interior River Valleys and Hills,Fire,Fire,2003,2003,0
Mississippi Alluvial Plain,Fire,Fire,2003,2003,0
Mississippi Valley Loess Plains,Fire,Fire,2003,2003,0
Southern Coastal Plain,Fire,Fire,2003,2003,0
Southern Florida Coastal Plain,Fire,Fire,2003,2003,0
North Cascades,Fire,Fire,2003,2003,22300
Klamath Mountains/California High North Coast Range,Fire,Fire,2003,2003,208500
Madrean Archipelago,Fire,Fire,2003,2003,47400
Northern Basin and Range,Fire,Fire,2003,2003,60600
Sonoran Basin and Range,Fire,Fire,2003,2003,6300
Acadian Plains and Hills,Fire,Fire,2003,2003,0
Eastern Great Lakes Lowlands,Fire,Fire,2003,2003,0
Atlantic Coastal Pine Barrens,Fire,Fire,2003,2003,0
Southern California/Northern Baja Coast,Fire,Fire,2003,2003,5000
Coast Range,Fire,Fire,2004,2004,400
Puget Lowland,Fire,Fire,2004,2004,0
Willamette Valley,Fire,Fire,2004,2004,0
Cascades,Fire,Fire,2004,2004,8300
Sierra Nevada,Fire,Fire,2004,2004,13100
Central California Foothills and Coastal Mountains,Fire,Fire,2004,2004,36400
Central California Valley,Fire,Fire,2004,2004,1600
Southern California Mountains,Fire,Fire,2004,2004,120300
Eastern Cascades Slopes and Foothills,Fire,Fire,2004,2004,7400
Columbia Plateau,Fire,Fire,2004,2004,23900
Blue Mountains,Fire,Fire,2004,2004,86300
Snake River Plain,Fire,Fire,2004,2004,169800
Central Basin and Range,Fire,Fire,2004,2004,400800
Mojave Basin and Range,Fire,Fire,2004,2004,75600
Northern Rockies,Fire,Fire,2004,2004,6100
Idaho Batholith,Fire,Fire,2004,2004,127400
Middle Rockies,Fire,Fire,2004,2004,106100
Wyoming Basin,Fire,Fire,2004,2004,11500
Wasatch and Uinta Mountains,Fire,Fire,2004,2004,6400
Colorado Plateaus,Fire,Fire,2004,2004,15300
Southern Rockies,Fire,Fire,2004,2004,17300
Arizona/New Mexico Plateau,Fire,Fire,2004,2004,2700
Arizona/New Mexico Mountains,Fire,Fire,2004,2004,80700
Chihuahuan Deserts,Fire,Fire,2004,2004,0
High Plains,Fire,Fire,2004,2004,73300
Southwestern Tablelands,Fire,Fire,2004,2004,163700
Central Great Plains,Fire,Fire,2004,2004,38900
Flint Hills,Fire,Fire,2004,2004,0
Cross Timbers,Fire,Fire,2004,2004,0
Edwards Plateau,Fire,Fire,2004,2004,0
Southern Texas Plains,Fire,Fire,2004,2004,0
Texas Blackland Prairies,Fire,Fire,2004,2004,0
East Central Texas Plains,Fire,Fire,2004,2004,0
Western Gulf Coastal Plain,Fire,Fire,2004,2004,0
South Central Plains,Fire,Fire,2004,2004,0
Ouachita Mountains,Fire,Fire,2004,2004,0
Arkansas Valley,Fire,Fire,2004,2004,0
Boston Mountains,Fire,Fire,2004,2004,0
Ozark Highlands,Fire,Fire,2004,2004,0
Central Irregular Plains,Fire,Fire,2004,2004,0
Canadian Rockies,Fire,Fire,2004,2004,16600
Northwestern Glaciated Plains,Fire,Fire,2004,2004,700
Northwestern Great Plains,Fire,Fire,2004,2004,266400
Nebraska Sand Hills,Fire,Fire,2004,2004,2100
Piedmont,Fire,Fire,2004,2004,0
Northern Glaciated Plains,Fire,Fire,2004,2004,0
Western Corn Belt Plains,Fire,Fire,2004,2004,0
Lake Agassiz Plain,Fire,Fire,2004,2004,0
Northern Minnesota Wetlands,Fire,Fire,2004,2004,0
Northern Lakes and Forests,Fire,Fire,2004,2004,18500
North Central Hardwood Forests,Fire,Fire,2004,2004,0
Driftless Area,Fire,Fire,2004,2004,0
Southeastern Wisconsin Till Plains,Fire,Fire,2004,2004,0
Central Corn Belt Plains,Fire,Fire,2004,2004,0
Eastern Corn Belt Plains,Fire,Fire,2004,2004,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2004,2004,0
Huron/Erie Lake Plains,Fire,Fire,2004,2004,0
Northeastern Highlands,Fire,Fire,2004,2004,0
Northeastern Coastal Zone,Fire,Fire,2004,2004,0
Northern Allegheny Plateau,Fire,Fire,2004,2004,0
