StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Western Gulf Coastal Plain,Ag Expansion,Ag Change,2001,2006,1920
Willamette Valley,Ag Expansion,Ag Change,2001,2006,120
Wyoming Basin,Ag Expansion,Ag Change,2001,2006,1540
Acadian Plains and Hills,Ag Expansion,Ag Change,2007,2011,120
Arizona/New Mexico Mountains,Ag Expansion,Ag Change,2007,2011,40
Arizona/New Mexico Plateau,Ag Expansion,Ag Change,2007,2011,1940
Arkansas Valley,Ag Expansion,Ag Change,2007,2011,420
Atlantic Coastal Pine Barrens,Ag Expansion,Ag Change,2007,2011,100
Blue Mountains,Ag Expansion,Ag Change,2007,2011,740
Blue Ridge,Ag Expansion,Ag Change,2007,2011,540
Boston Mountains,Ag Expansion,Ag Change,2007,2011,240
Canadian Rockies,Ag Expansion,Ag Change,2007,2011,0
Cascades,Ag Expansion,Ag Change,2007,2011,20
Central Appalachians,Ag Expansion,Ag Change,2007,2011,420
Central Basin and Range,Ag Expansion,Ag Change,2007,2011,2760
Central California Foothills and Coastal Mountains,Ag Expansion,Ag Change,2007,2011,2260
Central California Valley,Ag Expansion,Ag Change,2007,2011,4240
Central Corn Belt Plains,Ag Expansion,Ag Change,2007,2011,560
Central Great Plains,Ag Expansion,Ag Change,2007,2011,33480
Central Irregular Plains,Ag Expansion,Ag Change,2007,2011,2980
Chihuahuan Deserts,Ag Expansion,Ag Change,2007,2011,1500
Coast Range,Ag Expansion,Ag Change,2007,2011,80
Colorado Plateaus,Ag Expansion,Ag Change,2007,2011,1640
Columbia Plateau,Ag Expansion,Ag Change,2007,2011,7320
Cross Timbers,Ag Expansion,Ag Change,2007,2011,4480
Driftless Area,Ag Expansion,Ag Change,2007,2011,960
East Central Texas Plains,Ag Expansion,Ag Change,2007,2011,2000
Eastern Cascades Slopes and Foothills,Ag Expansion,Ag Change,2007,2011,680
Eastern Corn Belt Plains,Ag Expansion,Ag Change,2007,2011,540
Eastern Great Lakes Lowlands,Ag Expansion,Ag Change,2007,2011,680
Edwards Plateau,Ag Expansion,Ag Change,2007,2011,1080
Erie Drift Plain,Ag Expansion,Ag Change,2007,2011,200
Flint Hills,Ag Expansion,Ag Change,2007,2011,1900
High Plains,Ag Expansion,Ag Change,2007,2011,40440
Huron/Erie Lake Plains,Ag Expansion,Ag Change,2007,2011,220
Idaho Batholith,Ag Expansion,Ag Change,2007,2011,80
Interior Plateau,Ag Expansion,Ag Change,2007,2011,2300
Interior River Valleys and Hills,Ag Expansion,Ag Change,2007,2011,1040
Klamath Mountains/California High North Coast Range,Ag Expansion,Ag Change,2007,2011,40
Lake Agassiz Plain,Ag Expansion,Ag Change,2007,2011,2440
Madrean Archipelago,Ag Expansion,Ag Change,2007,2011,620
Middle Atlantic Coastal Plain,Ag Expansion,Ag Change,2007,2011,560
Middle Rockies,Ag Expansion,Ag Change,2007,2011,3860
