TransitionTypeID,TransitionGroupID,IsAuto
Reforestation Cropland: Aspen/Birch Group,Reforestation: Aspen/Birch Group,
Reforestation Cropland: Alder/Maple Group,Reforestation: Alder/Maple Group,
Reforestation Cropland: Western Oak Group,Reforestation: Western Oak Group,
Reforestation Cropland: Tanoak/Laurel Group,Reforestation: Tanoak/Laurel Group,
Reforestation Cropland: Other Western Hardwoods Group,Reforestation: Other Western Hardwoods Group,
Reforestation Cropland: Tropical Hardwoods Group,Reforestation: Tropical Hardwoods Group,
Reforestation Cropland: Exotic Hardwoods Group,Reforestation: Exotic Hardwoods Group,
Reforestation Pasture: White/Red/Jack Pine Group,Reforestation: White/Red/Jack Pine Group,
Reforestation Pasture: Spruce/Fir Group,Reforestation: Spruce/Fir Group,
Reforestation Pasture: Longleaf/Slash Pine Group,Reforestation: Longleaf/Slash Pine Group,
Reforestation Pasture: Loblolly/Shortleaf Pine Group,Reforestation: Loblolly/Shortleaf Pine Group,
Reforestation Pasture: Pinyon/Juniper Group,Reforestation: Pinyon/Juniper Group,
Reforestation Pasture: Douglas-fir Group,Reforestation: Douglas-fir Group,
Reforestation Pasture: Ponderosa Pine Group,Reforestation: Ponderosa Pine Group,
Reforestation Pasture: Western White Pine Group,Reforestation: Western White Pine Group,
Reforestation Pasture: Fir/Spruce/Mountain Hemlock Group,Reforestation: Fir/Spruce/Mountain Hemlock Group,
Reforestation Pasture: Lodgepole Pine Group,Reforestation: Lodgepole Pine Group,
Reforestation Pasture: Hemlock/Sitka Spruce Group,Reforestation: Hemlock/Sitka Spruce Group,
Reforestation Pasture: Western Larch Group,Reforestation: Western Larch Group,
Reforestation Pasture: Redwood Group,Reforestation: Redwood Group,
Reforestation Pasture: Other Western Softwood Group,Reforestation: Other Western Softwood Group,
Reforestation Pasture: California Mixed Conifer Group,Reforestation: California Mixed Conifer Group,
Reforestation Pasture: Exotic Softwoods Group,Reforestation: Exotic Softwoods Group,
Reforestation Pasture: Oak/Pine Group,Reforestation: Oak/Pine Group,
Reforestation Pasture: Oak/Hickory Group,Reforestation: Oak/Hickory Group,
Reforestation Pasture: Oak/Gum/Cypress Group,Reforestation: Oak/Gum/Cypress Group,
Reforestation Pasture: Elm/Ash/Cottonwood Group,Reforestation: Elm/Ash/Cottonwood Group,
Reforestation Pasture: Maple/Beech/Birch Group,Reforestation: Maple/Beech/Birch Group,
Reforestation Pasture: Aspen/Birch Group,Reforestation: Aspen/Birch Group,
Reforestation Pasture: Alder/Maple Group,Reforestation: Alder/Maple Group,
Reforestation Pasture: Western Oak Group,Reforestation: Western Oak Group,
Reforestation Pasture: Tanoak/Laurel Group,Reforestation: Tanoak/Laurel Group,
Reforestation Pasture: Other Western Hardwoods Group,Reforestation: Other Western Hardwoods Group,
Reforestation Pasture: Tropical Hardwoods Group,Reforestation: Tropical Hardwoods Group,
Reforestation Pasture: Exotic Hardwoods Group,Reforestation: Exotic Hardwoods Group,
Reforestation Post Fire Shrub: White/Red/Jack Pine Group,Reforestation: White/Red/Jack Pine Group,
Reforestation Post Fire Shrub: Spruce/Fir Group,Reforestation: Spruce/Fir Group,
Reforestation Post Fire Shrub: Longleaf/Slash Pine Group,Reforestation: Longleaf/Slash Pine Group,
Reforestation Post Fire Shrub: Loblolly/Shortleaf Pine Group,Reforestation: Loblolly/Shortleaf Pine Group,
Reforestation Post Fire Shrub: Pinyon/Juniper Group,Reforestation: Pinyon/Juniper Group,
Reforestation Post Fire Shrub: Douglas-fir Group,Reforestation: Douglas-fir Group,
Reforestation Post Fire Shrub: Ponderosa Pine Group,Reforestation: Ponderosa Pine Group,
Reforestation Post Fire Shrub: Western White Pine Group,Reforestation: Western White Pine Group,
Reforestation Post Fire Shrub: Fir/Spruce/Mountain Hemlock Group,Reforestation: Fir/Spruce/Mountain Hemlock Group,
Reforestation Post Fire Shrub: Lodgepole Pine Group,Reforestation: Lodgepole Pine Group,
Reforestation Post Fire Shrub: Hemlock/Sitka Spruce Group,Reforestation: Hemlock/Sitka Spruce Group,
Reforestation Post Fire Shrub: Western Larch Group,Reforestation: Western Larch Group,
Reforestation Post Fire Shrub: Redwood Group,Reforestation: Redwood Group,
Reforestation Post Fire Shrub: Other Western Softwood Group,Reforestation: Other Western Softwood Group,
Reforestation Post Fire Shrub: California Mixed Conifer Group,Reforestation: California Mixed Conifer Group,
Reforestation Post Fire Shrub: Exotic Softwoods Group,Reforestation: Exotic Softwoods Group,
Reforestation Post Fire Shrub: Oak/Pine Group,Reforestation: Oak/Pine Group,
Reforestation Post Fire Shrub: Oak/Hickory Group,Reforestation: Oak/Hickory Group,
Reforestation Post Fire Shrub: Oak/Gum/Cypress Group,Reforestation: Oak/Gum/Cypress Group,
Reforestation Post Fire Shrub: Elm/Ash/Cottonwood Group,Reforestation: Elm/Ash/Cottonwood Group,
Reforestation Post Fire Shrub: Maple/Beech/Birch Group,Reforestation: Maple/Beech/Birch Group,
Reforestation Post Fire Shrub: Aspen/Birch Group,Reforestation: Aspen/Birch Group,
Reforestation Post Fire Shrub: Alder/Maple Group,Reforestation: Alder/Maple Group,
Reforestation Post Fire Shrub: Western Oak Group,Reforestation: Western Oak Group,
Reforestation Post Fire Shrub: Tanoak/Laurel Group,Reforestation: Tanoak/Laurel Group,
Reforestation Post Fire Shrub: Other Western Hardwoods Group,Reforestation: Other Western Hardwoods Group,
Reforestation Post Fire Shrub: Tropical Hardwoods Group,Reforestation: Tropical Hardwoods Group,
Reforestation Post Fire Shrub: Exotic Hardwoods Group,Reforestation: Exotic Hardwoods Group,
Reforestation Grassland: White/Red/Jack Pine Group,Reforestation: White/Red/Jack Pine Group,
Reforestation Grassland: Spruce/Fir Group,Reforestation: Spruce/Fir Group,
Reforestation Grassland: Longleaf/Slash Pine Group,Reforestation: Longleaf/Slash Pine Group,
Reforestation Grassland: Loblolly/Shortleaf Pine Group,Reforestation: Loblolly/Shortleaf Pine Group,
Reforestation Grassland: Pinyon/Juniper Group,Reforestation: Pinyon/Juniper Group,
Reforestation Grassland: Douglas-fir Group,Reforestation: Douglas-fir Group,
Reforestation Grassland: Ponderosa Pine Group,Reforestation: Ponderosa Pine Group,
Reforestation Grassland: Western White Pine Group,Reforestation: Western White Pine Group,
Reforestation Grassland: Fir/Spruce/Mountain Hemlock Group,Reforestation: Fir/Spruce/Mountain Hemlock Group,
Reforestation Grassland: Lodgepole Pine Group,Reforestation: Lodgepole Pine Group,
Reforestation Grassland: Hemlock/Sitka Spruce Group,Reforestation: Hemlock/Sitka Spruce Group,
Reforestation Grassland: Western Larch Group,Reforestation: Western Larch Group,
Reforestation Grassland: Redwood Group,Reforestation: Redwood Group,
Reforestation Grassland: Other Western Softwood Group,Reforestation: Other Western Softwood Group,
Reforestation Grassland: California Mixed Conifer Group,Reforestation: California Mixed Conifer Group,
Reforestation Grassland: Exotic Softwoods Group,Reforestation: Exotic Softwoods Group,
Reforestation Grassland: Oak/Pine Group,Reforestation: Oak/Pine Group,
Reforestation Grassland: Oak/Hickory Group,Reforestation: Oak/Hickory Group,
Reforestation Grassland: Oak/Gum/Cypress Group,Reforestation: Oak/Gum/Cypress Group,
Reforestation Grassland: Elm/Ash/Cottonwood Group,Reforestation: Elm/Ash/Cottonwood Group,
Reforestation Grassland: Maple/Beech/Birch Group,Reforestation: Maple/Beech/Birch Group,
Reforestation Grassland: Aspen/Birch Group,Reforestation: Aspen/Birch Group,
Reforestation Grassland: Alder/Maple Group,Reforestation: Alder/Maple Group,
Reforestation Grassland: Western Oak Group,Reforestation: Western Oak Group,
Reforestation Grassland: Tanoak/Laurel Group,Reforestation: Tanoak/Laurel Group,
Reforestation Grassland: Other Western Hardwoods Group,Reforestation: Other Western Hardwoods Group,
Reforestation Grassland: Tropical Hardwoods Group,Reforestation: Tropical Hardwoods Group,
Reforestation Grassland: Exotic Hardwoods Group,Reforestation: Exotic Hardwoods Group,
Reforestation Shrubland: White/Red/Jack Pine Group,Reforestation: White/Red/Jack Pine Group,
Reforestation Shrubland: Spruce/Fir Group,Reforestation: Spruce/Fir Group,
Reforestation Shrubland: Longleaf/Slash Pine Group,Reforestation: Longleaf/Slash Pine Group,
Reforestation Shrubland: Loblolly/Shortleaf Pine Group,Reforestation: Loblolly/Shortleaf Pine Group,
Reforestation Shrubland: Pinyon/Juniper Group,Reforestation: Pinyon/Juniper Group,
Reforestation Shrubland: Douglas-fir Group,Reforestation: Douglas-fir Group,
Reforestation Shrubland: Ponderosa Pine Group,Reforestation: Ponderosa Pine Group,
Reforestation Shrubland: Western White Pine Group,Reforestation: Western White Pine Group,
Reforestation Shrubland: Fir/Spruce/Mountain Hemlock Group,Reforestation: Fir/Spruce/Mountain Hemlock Group,
Reforestation Shrubland: Lodgepole Pine Group,Reforestation: Lodgepole Pine Group,
Reforestation Shrubland: Hemlock/Sitka Spruce Group,Reforestation: Hemlock/Sitka Spruce Group,
Reforestation Shrubland: Western Larch Group,Reforestation: Western Larch Group,
Reforestation Shrubland: Redwood Group,Reforestation: Redwood Group,
Reforestation Shrubland: Other Western Softwood Group,Reforestation: Other Western Softwood Group,
Reforestation Shrubland: California Mixed Conifer Group,Reforestation: California Mixed Conifer Group,
Reforestation Shrubland: Exotic Softwoods Group,Reforestation: Exotic Softwoods Group,
Reforestation Shrubland: Oak/Pine Group,Reforestation: Oak/Pine Group,
Reforestation Shrubland: Oak/Hickory Group,Reforestation: Oak/Hickory Group,
Reforestation Shrubland: Oak/Gum/Cypress Group,Reforestation: Oak/Gum/Cypress Group,
Reforestation Shrubland: Elm/Ash/Cottonwood Group,Reforestation: Elm/Ash/Cottonwood Group,
Reforestation Shrubland: Maple/Beech/Birch Group,Reforestation: Maple/Beech/Birch Group,
Reforestation Shrubland: Aspen/Birch Group,Reforestation: Aspen/Birch Group,
Reforestation Shrubland: Alder/Maple Group,Reforestation: Alder/Maple Group,
Reforestation Shrubland: Western Oak Group,Reforestation: Western Oak Group,
Reforestation Shrubland: Tanoak/Laurel Group,Reforestation: Tanoak/Laurel Group,
Reforestation Shrubland: Other Western Hardwoods Group,Reforestation: Other Western Hardwoods Group,
Reforestation Shrubland: Tropical Hardwoods Group,Reforestation: Tropical Hardwoods Group,
Reforestation Shrubland: Exotic Hardwoods Group,Reforestation: Exotic Hardwoods Group,
