Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Intensification: Open to Medium [Type],0.88,1,,,,,
,2002,,,,Urbanization: High [Type],0,0.1,,,,,
,2002,,,,Urbanization: High [Type],0.88,1,,,,,
,2002,,,,Urbanization: Low [Type],0,0.1,,,,,
,2002,,,,Urbanization: Low [Type],0.88,1,,,,,
,2002,,,,Urbanization: Medium [Type],0,0.1,,,,,
,2002,,,,Urbanization: Medium [Type],0.88,1,,,,,
,2002,,,,Urbanization: Open [Type],0,0.1,,,,,
,2002,,,,Urbanization: Open [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Alder/Maple Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Aspen/Birch Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: California Mixed Conifer Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Exotic Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Exotic Softwoods Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Lodgepole Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Longleaf/Slash Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Maple/Beech/Birch Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Oak/Gum/Cypress Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Oak/Hickory Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Oak/Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Other Western Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Other Western Softwood Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Pinyon/Juniper Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Ponderosa Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Redwood Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Spruce/Fir Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Tanoak/Laurel Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Tropical Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Western Larch Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Western Oak Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Western White Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: White/Red/Jack Pine Group [Type],0,0.1,,,,,
,2002,,,,Succession Post Fire: Alder/Maple Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Aspen/Birch Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: California Mixed Conifer Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Exotic Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Exotic Softwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Lodgepole Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Hickory Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Other Western Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Other Western Softwood Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Pinyon/Juniper Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Ponderosa Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Redwood Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Spruce/Fir Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Tanoak/Laurel Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Tropical Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Western Larch Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Western Oak Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Western White Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: White/Red/Jack Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: White/Red/Jack Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Spruce/Fir Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Longleaf/Slash Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Loblolly/Shortleaf Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Pinyon/Juniper Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Douglas-fir Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Ponderosa Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Western White Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Fir/Spruce/Mountain Hemlock Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Lodgepole Pine Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Hemlock/Sitka Spruce Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Western Larch Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Redwood Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Other Western Softwood Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: California Mixed Conifer Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Exotic Softwoods Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Oak/Pine Group [Type],0,0.1,,,,,
