Timestep,StratumID,TransitionGroupID,MaximumArea,RelativeAmount
2021,Central Basin and Range,Fire,1000,0.16958041958041958
2021,Central Basin and Range,Fire,2000,0.1357808857808858
2021,Central Basin and Range,Fire,5000,0.1381118881118881
2021,Central Basin and Range,Fire,10000,0.06468531468531469
2021,Central Basin and Range,Fire,20000,0.04079254079254079
2021,Central Basin and Range,Fire,50000,0.016317016317016316
2021,Central Basin and Range,Fire,100000,0.008741258741258742
2021,Central Basin and Range,Fire,200000,0.002913752913752914
2021,Central Basin and Range,Fire,500000,0.00058275058275058275
2021,Mojave Basin and Range,Fire,200,0.23544973544973544
2021,Mojave Basin and Range,Fire,500,0.2857142857142857
2021,Mojave Basin and Range,Fire,1000,0.1455026455026455
2021,Mojave Basin and Range,Fire,2000,0.1111111111111111
2021,Mojave Basin and Range,Fire,5000,0.12169312169312169
2021,Mojave Basin and Range,Fire,10000,0.04497354497354497
2021,Mojave Basin and Range,Fire,20000,0.037037037037037035
2021,Mojave Basin and Range,Fire,50000,0.018518518518518517
2021,Northern Rockies,Fire,200,0.18635170603674542
2021,Northern Rockies,Fire,500,0.2545931758530184
2021,Northern Rockies,Fire,1000,0.14435695538057744
2021,Northern Rockies,Fire,2000,0.11811023622047244
2021,Northern Rockies,Fire,5000,0.13910761154855644
2021,Northern Rockies,Fire,10000,0.06036745406824147
2021,Northern Rockies,Fire,20000,0.047244094488188976
2021,Northern Rockies,Fire,50000,0.031496062992125984
2021,Northern Rockies,Fire,100000,0.005249343832020997
2021,Northern Rockies,Fire,200000,0.005249343832020997
2021,Northern Rockies,Fire,500000,0.007874015748031496
2021,Idaho Batholith,Fire,200,0.19467213114754098
2021,Idaho Batholith,Fire,500,0.2551229508196721
2021,Idaho Batholith,Fire,1000,0.13831967213114754
2021,Idaho Batholith,Fire,2000,0.13319672131147542
2021,Idaho Batholith,Fire,5000,0.1362704918032787
2021,Idaho Batholith,Fire,10000,0.05430327868852459
2021,Idaho Batholith,Fire,20000,0.04815573770491803
2021,Idaho Batholith,Fire,50000,0.025614754098360656
2021,Idaho Batholith,Fire,100000,0.012295081967213115
2021,Idaho Batholith,Fire,200000,0.0020491803278688526
2021,Middle Rockies,Fire,200,0.17941585535465926
2021,Middle Rockies,Fire,500,0.23226703755215578
2021,Middle Rockies,Fire,1000,0.16550764951321278
2021,Middle Rockies,Fire,2000,0.14881780250347706
2021,Middle Rockies,Fire,5000,0.12795549374130738
2021,Middle Rockies,Fire,10000,0.08205841446453407
2021,Middle Rockies,Fire,20000,0.03477051460361613
2021,Middle Rockies,Fire,50000,0.01808066759388039
2021,Middle Rockies,Fire,100000,0.009735744089012517
2021,Middle Rockies,Fire,200000,0.0013908205841446453
2021,Wyoming Basin,Fire,200,0.2893081761006289
2021,Wyoming Basin,Fire,500,0.2641509433962264
2021,Wyoming Basin,Fire,1000,0.11949685534591195
2021,Wyoming Basin,Fire,2000,0.1509433962264151
2021,Wyoming Basin,Fire,5000,0.0880503144654088
2021,Wyoming Basin,Fire,10000,0.05660377358490566
2021,Wyoming Basin,Fire,20000,0.018867924528301886
2021,Wyoming Basin,Fire,100000,0.012578616352201259
2021,Wasatch and Uinta Mountains,Fire,200,0.30980392156862746
2021,Wasatch and Uinta Mountains,Fire,500,0.26666666666666666
2021,Wasatch and Uinta Mountains,Fire,1000,0.1843137254901961
2021,Wasatch and Uinta Mountains,Fire,2000,0.10196078431372549
2021,Wasatch and Uinta Mountains,Fire,5000,0.07450980392156863
2021,Wasatch and Uinta Mountains,Fire,10000,0.0196078431372549
2021,Wasatch and Uinta Mountains,Fire,20000,0.027450980392156862
2021,Wasatch and Uinta Mountains,Fire,50000,0.01568627450980392
2021,Colorado Plateaus,Fire,200,0.332579185520362
